epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,910.257,0.48863,1.97372,0.0611,0.27614,1.16071,0.99952,0.99412,0.995,0.85771,0.98769,0.98235,0.9893,0.4431,0.63172,2.5274,0.03819,0.34551,1.12972,0.000473954,0.000473954,0.000473954
46,929.685,0.47275,1.99141,0.05926,0.27025,1.13583,1,0.99409,0.995,0.88835,0.98225,0.97647,0.9824,0.46038,0.57057,2.50231,0.03948,0.33431,1.1127,0.000472779,0.000472779,0.000472779
47,949.359,0.48216,1.95868,0.06073,0.2712,1.16088,0.99296,0.98824,0.99301,0.88416,0.99983,0.97059,0.98696,0.47471,0.55623,2.49688,0.04208,0.32557,1.08511,0.000471579,0.000471579,0.000471579
48,969.017,0.49397,1.99011,0.06581,0.28087,1.16364,0.99383,0.98824,0.99482,0.87445,0.99383,0.98824,0.99274,0.45624,0.60796,2.55775,0.03933,0.35386,1.16612,0.000470356,0.000470356,0.000470356
49,989.156,0.50214,1.97821,0.05503,0.27507,1.17253,0.99326,0.98824,0.99448,0.89506,0.98143,0.97647,0.98156,0.47044,0.5495,2.5296,0.03938,0.32808,1.09674,0.000469108,0.000469108,0.000469108
50,1009.04,0.44593,1.955,0.05852,0.26478,1.11425,0.9937,0.98824,0.99477,0.85977,0.97594,0.97059,0.9829,0.46584,0.62977,2.50006,0.04067,0.33356,1.15034,0.000467836,0.000467836,0.000467836
51,1028.53,0.45766,1.92023,0.06339,0.26782,1.13203,1,0.9936,0.995,0.9049,0.99948,0.97647,0.98689,0.47243,0.53331,2.4848,0.04085,0.31186,1.06046,0.00046654,0.00046654,0.00046654
52,1048.03,0.46983,1.94788,0.05699,0.26916,1.13886,1,0.98731,0.99494,0.86704,0.99404,0.98143,0.9895,0.48173,0.6331,2.4777,0.03968,0.33422,1.1383,0.00046522,0.00046522,0.00046522
53,1067.32,0.45965,1.91992,0.05916,0.26692,1.12652,0.99955,0.99412,0.995,0.87692,0.98814,0.98057,0.98971,0.497,0.60276,2.42279,0.03647,0.32476,1.115,0.000463877,0.000463877,0.000463877
54,1086.65,0.45503,1.93317,0.05725,0.27054,1.12009,0.99958,0.99412,0.995,0.88784,0.99565,0.98235,0.98919,0.4826,0.53149,2.44589,0.03906,0.2931,1.07023,0.000462511,0.000462511,0.000462511
55,1106.3,0.45139,1.94176,0.06497,0.26631,1.11356,0.99951,0.98824,0.99483,0.90542,0.99819,0.98235,0.98922,0.45294,0.50729,2.46544,0.03927,0.31157,1.05308,0.000461121,0.000461121,0.000461121
56,1125.75,0.47123,1.91484,0.0595,0.26531,1.13715,0.99962,0.98824,0.99494,0.87904,0.99843,0.98235,0.99203,0.47276,0.61602,2.39671,0.03898,0.3323,1.11989,0.000459708,0.000459708,0.000459708
57,1145.26,0.45127,1.89458,0.06091,0.25418,1.11837,1,0.99333,0.995,0.88814,1,0.99333,0.995,0.48468,0.55193,2.3573,0.03904,0.30686,1.07818,0.000458272,0.000458272,0.000458272
58,1164.92,0.43566,1.87155,0.06047,0.24609,1.09974,0.98704,0.99412,0.99482,0.89826,0.99209,0.97059,0.9892,0.47831,0.4949,2.4079,0.0371,0.28862,1.03074,0.000456813,0.000456813,0.000456813
59,1184.37,0.44262,1.90579,0.05307,0.25257,1.10442,0.99976,1,0.995,0.88852,0.98799,0.98824,0.99186,0.48994,0.56962,2.35979,0.0374,0.30008,1.08112,0.000455332,0.000455332,0.000455332
