filename,color_label,white_score,black_score,orange_score,gray_score,other_score,consistency,edge_density,texture_var,lbp_complexity,has_stripes
33057441863_cc1dc58477_o_jpg.rf.abf2833acad10071f0734c380e48dd83.jpg,orange,0.0,0.159,0.838,0.0,0.003,0.005,7.0,602.24,242.68,False
33569683_m_jpg.rf.f4c416032ccc304c5b3b8cc5d8c282cc.jpg,orange,0.0,0.166,0.816,0.0,0.018,0.0,16.08,1356.59,241.18,False
52027908781_c25b151615_o_jpg.rf.fa1e4e4f0f01486fb7d23b95889e727f.jpg,orange,0.0,0.092,0.762,0.0,0.146,0.003,8.91,1645.4,242.82,False
52362486061_80e998e46f_b_jpg.rf.7d8ded235c9be7f85318592a0394298d.jpg,orange,0.04,0.355,0.531,0.0,0.074,0.021,8.93,344.55,239.73,False
5278096043_af8b0a78f8_b_jpg.rf.810f987eaf455ba360e92417a0d4aef0.jpg,orange,0.0,0.431,0.525,0.0,0.044,0.006,7.88,361.39,245.33,False
61d5eee4-1ec8-4c7a-ad68-1ffac7762bb1_jpg.rf.09a2e01a00b2cd978d4034169c1adb14.jpg,black,0.0,0.546,0.287,0.002,0.165,0.009,2.17,62.58,247.44,False
6582877995_5fdf62796e_z_jpg.rf.5b733d5700fe06d05a65b12757d6da37.jpg,other,0.439,0.07,0.0,0.491,0.0,0.006,8.28,2326.99,244.47,False
694ced9938a92_png.rf.caf9435fbbe02a4f9dc0c05053e30702.jpg,other,0.158,0.115,0.182,0.198,0.347,0.003,11.74,1485.71,241.88,False
77b4bc45-03ed-475e-8cbb-0c8d23c0096f_jpg.rf.83a527a92bca1e35109c52a66fd17a96.jpg,black,0.081,0.763,0.0,0.156,0.0,0.065,5.1,403.88,244.39,False
9ffd9a35-9651-4bcc-939c-e566e0d82699_jpg.rf.119631856cbbe47cdd8847159619e333.jpg,orange,0.003,0.0,0.87,0.0,0.127,0.001,11.43,1312.42,241.99,False
a7957a2f-0335-4081-a2e2-07cd04e8ef12_jpg.rf.4b29b00c4b2089c3dcad69468a12959a.jpg,black,0.0,0.545,0.0,0.455,0.0,0.006,2.3,120.58,247.15,False
