filename,color_label,black_ratio,white_ratio,orange_ratio,gray_ratio,cream_ratio,chocolate_ratio,cinnamon_ratio
33569683_m_jpg.rf.f4c416032ccc304c5b3b8cc5d8c282cc.jpg,orange,0.174,0.0,0.996,0.0,0.0,0.227,0.013
52027908781_c25b151615_o_jpg.rf.fa1e4e4f0f01486fb7d23b95889e727f.jpg,orange,0.056,0.0,0.997,0.0,0.0,0.083,0.001
52362486061_80e998e46f_b_jpg.rf.7d8ded235c9be7f85318592a0394298d.jpg,orange,0.562,0.0,0.774,0.007,0.005,0.62,0.035
5278096043_af8b0a78f8_b_jpg.rf.810f987eaf455ba360e92417a0d4aef0.jpg,orange,0.342,0.0,0.604,0.007,0.024,0.282,0.199
61d5eee4-1ec8-4c7a-ad68-1ffac7762bb1_jpg.rf.09a2e01a00b2cd978d4034169c1adb14.jpg,black,0.58,0.0,0.183,0.03,0.0,0.23,0.016
6582877995_5fdf62796e_z_jpg.rf.5b733d5700fe06d05a65b12757d6da37.jpg,black,0.725,0.0,0.0,0.448,0.0,0.0,0.0
694ced9938a92_png.rf.caf9435fbbe02a4f9dc0c05053e30702.jpg,gray,0.19,0.005,0.085,0.256,0.196,0.044,0.204
77b4bc45-03ed-475e-8cbb-0c8d23c0096f_jpg.rf.83a527a92bca1e35109c52a66fd17a96.jpg,other,0.035,0.01,0.0,0.016,0.006,0.0,0.0
9ffd9a35-9651-4bcc-939c-e566e0d82699_jpg.rf.119631856cbbe47cdd8847159619e333.jpg,orange,0.098,0.0,0.991,0.0,0.001,0.087,0.008
a7957a2f-0335-4081-a2e2-07cd04e8ef12_jpg.rf.4b29b00c4b2089c3dcad69468a12959a.jpg,black,0.956,0.0,0.0,0.152,0.0,0.006,0.002
ab5b62fd-15db-46fb-94c2-4aefcbd514be_jpg.rf.b55460e39dd2ccbd6ab0fca139ae134a.jpg,orange,0.112,0.0,0.755,0.0,0.0,0.001,0.0
abolfazl-babaei-wMylh9Kf_zE-unsplash_jpg.rf.d956574c2bf007c15e03cb04010654c8.jpg,black,0.534,0.0,0.382,0.018,0.007,0.41,0.136
about-shin-jV-SWhl7eHM-unsplash_jpg.rf.e3d52b14eb3d3bad025e39334effbd89.jpg,orange,0.352,0.002,0.37,0.014,0.071,0.295,0.401
abyssinian-cat-home-with-her-owner-home-beautiful-purebred-short-haired-kitten-1-_jpg.rf.3be22c8c6203fcb97b45b52a02b354c4.jpg,orange,0.13,0.0,0.991,0.0,0.001,0.179,0.021
abyssinian-cat-home-with-her-owner-home-beautiful-purebred-short-haired-kitten-2-_jpg.rf.d882b38705c2116adedf0a1060c4482b.jpg,orange,0.18,0.0,0.988,0.0,0.0,0.239,0.007
abyssinian-cat-isolated-1-_jpg.rf.441ced035f5dbf61ba661dfa25ab425d.jpg,orange,0.019,0.0,1.0,0.0,0.0,0.042,0.0
abyssinian-cat-isolated_jpg.rf.51301521b29120db1a3f5dce3add764b.jpg,orange,0.006,0.0,1.0,0.0,0.0,0.021,0.0
adorable-cat-lifestyle_jpg.rf.c33d93d6ffa2d51634ef7348a3c7b31e.jpg,orange,0.119,0.01,0.639,0.009,0.273,0.094,0.332
adorable-fluffy-white-ragdoll-cat-playing-with-paper-balls-floor-light-room-looking-camera-with-blue-eyes-lovely-cute-purebred-feline-pet-outdoors-with-toys_jpg.rf.36750240c863449d2e8247c47c6bb4db.jpg,other,0.002,0.036,0.25,0.002,0.691,0.006,0.891
adorable-little-cat-isolated-white-background_jpg.rf.38e28ec43e7604dc17c423b01e788e84.jpg,orange,0.012,0.0,0.967,0.0,0.0,0.001,0.0
adult-beautiful-white-cat-with-different-colored-eyes-rubs-against-tree-trunk-summer-time_jpg.rf.2e8819a6bef61e8d880739d7fbf7c9c4.jpg,orange,0.0,0.0,0.984,0.0,0.014,0.0,0.082
adult-cat-light-background-brick-house-outside_jpg.rf.ab659d5848fcf823b55b473bb170d1a4.jpg,orange,0.024,0.0,0.994,0.0,0.004,0.045,0.067
adult-cat-pedigree-scottish-chinchilla-straight-ears-home_jpg.rf.b0c56358ff02dd55f3dc33f6c9fbb809.jpg,other,0.0,0.071,0.0,0.014,0.0,0.0,0.0
aef5a522-8efe-46e6-9348-54faebf7189d_jpg.rf.484347e8e978222adaf74d481a39e7a4.jpg,black,0.471,0.0,0.0,0.284,0.082,0.112,0.399
ahmet-yuksek-JlGH37m6uDk-unsplash_jpg.rf.f6f4d2118f077baaf48a38119605c80d.jpg,black,0.4,0.002,0.0,0.053,0.123,0.399,0.471
alireza-hashemi-YQMtP7Dni84-unsplash_jpg.rf.e6992c31f4d4933d644756742eed2c39.jpg,black,0.561,0.0,0.371,0.003,0.0,0.505,0.053
amin-zabardast-7VTkPQ9RKY4-unsplash_jpg.rf.2ad85c616431202f9a53132488c49a73.jpg,orange,0.109,0.0,0.964,0.0,0.0,0.042,0.003
andreas-brun-vvxIgUIPj_g-unsplash_jpg.rf.934beb1b0edea1342340b607409a5bb6.jpg,black,0.567,0.0,0.081,0.121,0.023,0.183,0.251
andrey-chip-TyznDehMi-8-unsplash_jpg.rf.4f531e373ee640d4237e59673ca5c79d.jpg,orange,0.345,0.0,0.901,0.0,0.001,0.5,0.124
