frame,kpt_id,conf,dx,dy,disp,norm_disp,ema_disp,accel,body_scale,frame_gap,tracking_quality
178,12,1.0,-8.339844,1.3343811,8.44592,0.02844454,0.017205961,5.122523784637451,296.92587,1,1.0
178,13,0.9926758,-12.676575,0.33358765,12.6809635,0.042707507,0.023671757,5.184388637542725,296.92587,1,1.0
178,14,0.99902344,-3.0023499,-0.16679382,3.0069795,0.010127038,0.027348239,-8.825017929077148,296.92587,1,1.0
178,15,0.9916992,3.0023346,1.1675873,3.2213776,0.010849097,0.030376688,-10.169207572937012,296.92587,1,1.0
178,16,0.7910156,10.341408,6.004669,11.958293,0.040273663,0.032886375,-5.996993064880371,296.92587,1,1.0
179,0,0.99609375,-3.3359375,-1.6679688,3.7296915,0.01272249,0.013657805,-0.8076786994934082,293.15735,1,1.0
179,1,0.99902344,-2.335205,-3.0023499,3.8035886,0.012974563,0.01653056,-2.9511711597442627,293.15735,1,1.0
179,2,0.9995117,4.003113,-4.8371124,6.2787395,0.021417644,0.025356334,-2.167175769805908,293.15735,1,1.0
179,3,0.9980469,3.0023193,-1.0007935,3.1647289,0.010795325,0.016517939,-1.0185210704803467,293.15735,1,1.0
179,4,1.0,5.337494,1.0007782,5.430506,0.018524203,0.014802219,4.271915435791016,293.15735,1,1.0
179,5,1.0,7.6726685,-4.8371124,9.070144,0.030939506,0.02824324,-0.18068885803222656,293.15735,1,1.0
179,6,1.0,-3.3359375,5.504303,6.4362903,0.021955071,0.031835288,-3.041821002960205,293.15735,1,1.0
179,7,0.99902344,-15.678894,2.6687622,15.904403,0.054252103,0.06473482,1.3710641860961914,293.15735,1,1.0
179,8,1.0,10.674988,3.1691284,11.135472,0.037984625,0.0687692,-10.684317588806152,293.15735,1,1.0
179,9,0.9980469,12.009338,7.0054626,13.903263,0.04742594,0.13058199,-28.980091094970703,293.15735,1,1.0
179,10,0.99853516,5.6710815,-3.502716,6.6655974,0.022737268,0.042499743,-5.866377353668213,293.15735,1,1.0
179,11,0.99365234,7.5058594,2.6687317,7.9661818,0.02717374,0.079916276,-16.386173248291016,293.15735,1,1.0
179,12,1.0,0.0,0.16677856,0.16677856,0.0005689046,0.012214844,-8.279141426086426,293.15735,1,1.0
179,13,0.99072266,-10.3414,3.0023499,10.768411,0.03673253,0.027589988,-1.912552833557129,293.15735,1,1.0
179,14,0.99902344,10.174606,-4.6703186,11.195289,0.03818867,0.030600369,8.188308715820312,293.15735,1,1.0
179,15,0.98828125,10.341415,-4.169922,11.150476,0.038035806,0.032674424,7.929099082946777,293.15735,1,1.0
179,16,0.7758789,19.18164,-0.33358765,19.18454,0.0654411,0.042652793,7.2262468338012695,293.15735,1,1.0
180,0,0.99365234,0.6671753,-3.5027313,3.5657046,0.0121942675,0.013218744,-0.1639869213104248,292.40826,1,1.0
180,1,0.99853516,-6.338257,-3.0023346,7.013381,0.023984894,0.018766861,3.209792375564575,292.40826,1,1.0
180,2,0.9995117,1.6679688,-0.5003967,1.7414123,0.005955414,0.019536057,-4.537327289581299,292.40826,1,1.0
180,3,0.9970703,1.0007935,2.835556,3.0069861,0.0102835195,0.014647613,-0.15774273872375488,292.40826,1,1.0
180,4,1.0,1.3343811,3.7529297,3.9830961,0.013621694,0.014448062,-1.4474101066589355,292.40826,1,1.0
180,5,1.0,2.335144,0.3336029,2.358853,0.008066985,0.022190364,-6.71129035949707,292.40826,1,1.0
180,6,1.0,-4.6703186,7.839447,9.1251745,0.031206965,0.03164679,2.6888842582702637,292.40826,1,1.0
180,7,0.99853516,-14.344574,2.335144,14.5334,0.049702425,0.0602251,-1.3710031509399414,292.40826,1,1.0
180,8,1.0,4.670349,5.3375244,7.092343,0.024254933,0.05541492,-4.0431294441223145,292.40826,1,1.0
180,9,0.9980469,3.3359375,9.340637,9.918467,0.033919927,0.10158337,-3.9847965240478516,292.40826,1,1.0
180,10,0.99853516,21.350006,-5.0039062,21.928562,0.07499296,0.05224771,15.262964248657227,292.40826,1,1.0
180,11,0.99365234,37.028915,-6.004669,37.51262,0.12828851,0.09442794,29.546436309814453,292.40826,1,1.0
180,12,1.0,-2.5019531,1.8347778,3.1026084,0.010610536,0.0117335515,2.9358298778533936,292.40826,1,1.0
180,13,0.99121094,-13.34375,-2.3351746,13.546538,0.046327483,0.033211235,2.778127670288086,292.40826,1,1.0
180,14,0.99902344,5.671097,2.668747,6.267659,0.021434616,0.027850643,-4.927629470825195,292.40826,1,1.0
180,15,0.9902344,6.838669,6.671875,9.554126,0.032673925,0.032674275,-1.5963506698608398,292.40826,1,1.0
180,16,0.78515625,9.674217,-5.0039062,10.89172,0.037248332,0.041031457,-8.29281997680664,292.40826,1,1.0
181,0,0.9941406,-1.3343506,2.1683655,2.5460362,0.008198379,0.011712634,-1.0196683406829834,310.55362,1,1.0
181,1,0.99902344,1.0007935,4.0865173,4.2072806,0.0135476785,0.017201107,-2.806100368499756,310.55362,1,1.0
181,2,0.9995117,-5.6710815,3.419342,6.6221647,0.02132374,0.020072363,4.8807525634765625,310.55362,1,1.0
181,3,0.9980469,-4.336731,-1.5011749,4.5892005,0.014777482,0.014686573,1.58221435546875,310.55362,1,1.0
181,4,1.0,-7.339081,3.1691437,7.9940963,0.025741437,0.017836073,4.011000156402588,310.55362,1,1.0
181,5,1.0,-24.685944,7.1722565,25.706753,0.08277718,0.04036641,23.347900390625,310.55362,1,1.0
181,6,1.0,-7.3390503,-5.8378906,9.377773,0.030196954,0.03121184,0.25259876251220703,310.55362,1,1.0
