frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
46,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9985,0.9858,0.9912,1.0000,1.0000,0.0000,0.0000,0.0000,0.9707
47,1.0000,0.9912,0.9985,0.9995,1.0000,1.0000,0.9990,0.9878,1.0000,0.9985,0.9849,0.9902,1.0000,1.0000,0.0000,0.0000,0.0000,0.9707
48,1.0000,0.9912,0.9985,0.9995,1.0000,1.0000,0.9990,0.9873,1.0000,0.9985,0.9834,0.9893,1.0000,1.0000,0.0000,0.0000,0.0000,0.9707
49,1.0000,0.9912,0.9985,0.9995,1.0000,1.0000,0.9990,0.9873,1.0000,0.9985,0.9829,0.9888,1.0000,0.9995,0.0000,0.0000,0.0000,0.9707
50,1.0000,0.9912,0.9985,0.9995,1.0000,1.0000,0.9990,0.9863,1.0000,0.9985,0.9790,0.9858,1.0000,0.9995,0.0000,0.0000,0.0000,0.9707
51,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9897,1.0000,0.9990,0.9858,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9712
52,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9897,1.0000,0.9990,0.9863,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9712
53,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9897,1.0000,0.9990,0.9863,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9717
54,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9897,1.0000,0.9990,0.9849,0.9927,1.0000,0.9995,0.0000,0.0000,0.0000,0.9717
55,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9990,0.9897,1.0000,0.9990,0.9863,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
56,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9883,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9717
57,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9990,0.9888,1.0000,0.9990,0.9824,0.9912,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
58,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9990,0.9893,1.0000,0.9990,0.9824,0.9912,1.0000,0.9995,0.0000,0.0000,0.0000,0.9727
59,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9990,0.9893,1.0000,0.9990,0.9829,0.9912,1.0000,0.9995,0.0000,0.0000,0.0000,0.9727
60,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9863,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9731
61,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9902,0.9951,1.0000,0.9995,0.0000,0.0000,0.0000,0.9731
62,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9897,0.9951,1.0000,0.9995,0.0000,0.0000,0.0000,0.9731
63,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9893,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9736
64,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9893,0.9946,1.0000,0.9995,0.0000,0.0000,0.0000,0.9736
65,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9883,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9741
66,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9897,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
67,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9893,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
68,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9893,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
69,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9897,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
70,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9907,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
71,0.9995,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9907,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
72,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9888,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
