epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,806.525,0.52137,1.4515,0.07305,0.28843,1.19722,0.99855,0.99412,0.995,0.85185,0.98673,0.98235,0.9895,0.55687,0.69763,1.99012,0.0398,0.33575,1.20222,0.000479459,0.000479459,0.000479459
41,826.533,0.51239,1.44808,0.06537,0.28608,1.18755,0.99973,0.98235,0.99434,0.8802,1,0.97593,0.99011,0.56051,0.56766,1.98464,0.03994,0.35701,1.11174,0.000478408,0.000478408,0.000478408
42,846.719,0.49151,1.48044,0.05934,0.27794,1.17933,0.9893,0.97647,0.99431,0.86848,0.98334,0.97059,0.98875,0.53522,0.62269,2.0522,0.03837,0.35715,1.13976,0.000477332,0.000477332,0.000477332
43,866.649,0.48914,1.37281,0.06243,0.27049,1.16132,1,0.98777,0.99477,0.87859,0.98809,0.976,0.98366,0.57549,0.5973,1.83469,0.03677,0.33153,1.11429,0.000476231,0.000476231,0.000476231
44,887.006,0.46698,1.32203,0.06433,0.26001,1.13927,0.99959,0.99412,0.995,0.84623,0.99241,0.98235,0.99178,0.5919,0.70281,1.73422,0.03752,0.35166,1.20971,0.000475105,0.000475105,0.000475105
45,907.102,0.50444,1.3015,0.0643,0.27493,1.17367,0.99411,0.99334,0.99488,0.84635,0.98735,0.98235,0.98872,0.59759,0.67826,1.72649,0.03379,0.33962,1.20717,0.000473954,0.000473954,0.000473954
46,926.898,0.48948,1.30841,0.0645,0.28041,1.16032,0.99369,1,0.99494,0.8524,0.99895,0.98824,0.99494,0.60478,0.64848,1.71184,0.03873,0.35567,1.16504,0.000472779,0.000472779,0.000472779
47,947.116,0.46405,1.28755,0.06209,0.26748,1.14621,0.99956,0.98824,0.9946,0.85586,0.99956,0.98824,0.99236,0.61342,0.68188,1.68753,0.04051,0.33958,1.17722,0.000471579,0.000471579,0.000471579
48,967.199,0.45785,1.27609,0.06691,0.26536,1.13293,0.98789,1,0.99447,0.8194,0.97626,0.98824,0.99105,0.64635,0.76706,1.58619,0.03975,0.3497,1.26973,0.000470356,0.000470356,0.000470356
49,987.494,0.46433,1.23607,0.05815,0.2609,1.13207,0.99952,1,0.995,0.86412,0.98776,0.98824,0.99168,0.60779,0.63935,1.6691,0.03586,0.32176,1.18005,0.000469108,0.000469108,0.000469108
50,1007.18,0.46303,1.27464,0.06151,0.2672,1.13341,0.9994,0.99412,0.995,0.81944,0.98758,0.98235,0.98948,0.62445,0.76116,1.67743,0.03776,0.35271,1.27757,0.000467836,0.000467836,0.000467836
51,1026.73,0.45954,1.26968,0.06604,0.26419,1.13995,0.99868,0.98824,0.99483,0.81153,0.99868,0.98824,0.99197,0.62642,0.80691,1.64248,0.03689,0.3476,1.31497,0.00046654,0.00046654,0.00046654
52,1046.3,0.44542,1.22218,0.05824,0.26186,1.11993,0.99415,0.9996,0.99488,0.77973,0.98245,0.98783,0.99281,0.63925,0.96851,1.6122,0.03773,0.37328,1.49206,0.00046522,0.00046522,0.00046522
53,1065.75,0.46197,1.21668,0.06084,0.26288,1.12367,0.9998,1,0.995,0.79749,0.99926,0.99412,0.995,0.65868,0.82417,1.54943,0.03593,0.36325,1.34942,0.000463877,0.000463877,0.000463877
54,1085.33,0.44806,1.23695,0.05852,0.25877,1.11404,0.99401,0.99412,0.99494,0.85498,0.98811,0.98824,0.99192,0.63705,0.68148,1.62151,0.03598,0.31789,1.18531,0.000462511,0.000462511,0.000462511
55,1105.41,0.43589,1.16611,0.0671,0.25592,1.0992,0.99931,0.99412,0.995,0.8682,0.99616,0.98824,0.9928,0.66345,0.64992,1.55001,0.03676,0.31067,1.17183,0.000461121,0.000461121,0.000461121
56,1124.81,0.4264,1.13216,0.06087,0.24608,1.08475,1,0.99933,0.995,0.80843,0.99983,0.99412,0.995,0.6431,0.82555,1.55183,0.03621,0.35558,1.34056,0.000459708,0.000459708,0.000459708
57,1144.34,0.4322,1.14681,0.06402,0.25335,1.1034,0.99367,0.99412,0.99476,0.7967,0.99408,0.98783,0.99271,0.66336,0.8265,1.51751,0.03692,0.34916,1.31317,0.000458272,0.000458272,0.000458272
58,1163.74,0.43442,1.12855,0.06115,0.25231,1.0998,1,0.9937,0.995,0.85503,1,0.98197,0.99026,0.64783,0.66057,1.57836,0.03526,0.32091,1.18284,0.000456813,0.000456813,0.000456813
59,1183.27,0.43649,1.15148,0.05357,0.25327,1.09884,0.99933,1,0.995,0.81053,0.99928,0.98235,0.99268,0.65225,0.7749,1.62345,0.03578,0.34365,1.29434,0.000455332,0.000455332,0.000455332
60,1202.73,0.42596,1.15805,0.06488,0.25357,1.10739,0.99939,1,0.995,0.81909,0.99809,0.98235,0.98978,0.63083,0.77659,1.65357,0.03668,0.33509,1.32323,0.000453828,0.000453828,0.000453828
61,1222.07,0.44581,1.11635,0.06759,0.25961,1.10987,0.99866,0.99412,0.995,0.87725,0.99866,0.99412,0.995,0.63142,0.58184,1.56262,0.0351,0.31543,1.10083,0.000452302,0.000452302,0.000452302
