run_tag,model_name,video_name,sample_index,source_frame_id,mean_confidence,active_kpts,frame_jitter,unstable
20260510_225358,val_best.pt,2752855.mp4,31,63,0.989631,17,0.034666,0
20260510_225358,val_best.pt,2752855.mp4,32,65,0.990148,17,0.023996,0
20260510_225358,val_best.pt,2752855.mp4,33,67,0.988109,17,0.022820,0
20260510_225358,val_best.pt,2752855.mp4,34,69,0.988798,17,0.025991,0
20260510_225358,val_best.pt,2752855.mp4,35,71,0.989114,17,0.022648,0
20260510_225358,val_best.pt,2752855.mp4,36,73,0.990522,17,0.021456,0
20260510_225358,val_best.pt,2752855.mp4,37,75,0.991355,17,0.018292,0
20260510_225358,val_best.pt,2752855.mp4,38,77,0.989631,17,0.021024,0
20260510_225358,val_best.pt,2752855.mp4,39,79,0.989028,17,0.024923,0
20260510_225358,val_best.pt,2752855.mp4,40,81,0.985524,17,0.035586,0
20260510_225358,val_best.pt,2752855.mp4,41,83,0.990119,17,0.021137,0
20260510_225358,val_best.pt,2752855.mp4,42,85,0.990206,17,0.019664,0
20260510_225358,val_best.pt,2752855.mp4,43,87,0.990407,17,0.018338,0
20260510_225358,val_best.pt,2752855.mp4,44,89,0.992015,17,0.024704,0
20260510_225358,val_best.pt,2752855.mp4,45,91,0.992618,17,0.020504,0
20260510_225358,val_best.pt,2752855.mp4,46,93,0.992877,17,0.022790,0
20260510_225358,val_best.pt,2752855.mp4,47,95,0.992389,17,0.014106,0
20260510_225358,val_best.pt,2752855.mp4,48,97,0.992417,17,0.022299,0
20260510_225358,val_best.pt,2752855.mp4,49,99,0.990924,17,0.024416,0
20260510_225358,val_best.pt,2752855.mp4,50,101,0.990809,17,0.023312,0
20260510_225358,val_best.pt,2752855.mp4,51,103,0.989172,17,0.028832,0
20260510_225358,val_best.pt,2752855.mp4,52,105,0.988540,17,0.019492,0
20260510_225358,val_best.pt,2752855.mp4,53,107,0.986644,17,0.021362,0
20260510_225358,val_best.pt,2752855.mp4,54,109,0.987391,17,0.022079,0
20260510_225358,val_best.pt,2752855.mp4,55,111,0.989775,17,0.020586,0
20260510_225358,val_best.pt,2752855.mp4,56,113,0.990608,17,0.015741,0
20260510_225358,val_best.pt,2752855.mp4,57,115,0.992015,17,0.016286,0
20260510_225358,val_best.pt,2752855.mp4,58,117,0.991900,17,0.023833,0
20260510_225358,val_best.pt,2752855.mp4,59,119,0.991958,17,0.029841,0
20260510_225358,val_best.pt,2752855.mp4,60,121,0.992618,17,0.020569,0
20260510_225358,val_best.pt,2752855.mp4,61,123,0.993222,17,0.031496,0
20260510_225358,val_best.pt,2752855.mp4,62,125,0.993537,17,0.018510,0
20260510_225358,val_best.pt,2752855.mp4,63,127,0.992503,17,0.020371,0
20260510_225358,val_best.pt,2752855.mp4,64,129,0.991355,17,0.024702,0
20260510_225358,val_best.pt,2752855.mp4,65,131,0.992417,17,0.032928,0
20260510_225358,val_best.pt,2752855.mp4,66,133,0.991498,17,0.022206,0
20260510_225358,val_best.pt,2752855.mp4,67,135,0.991067,17,0.022030,0
20260510_225358,val_best.pt,2752855.mp4,68,137,0.990119,17,0.023487,0
20260510_225358,val_best.pt,2752855.mp4,69,139,0.989344,17,0.020472,0
20260510_225358,val_best.pt,2752855.mp4,70,141,0.989804,17,0.027753,0
20260510_225358,val_best.pt,2752855.mp4,71,143,0.989459,17,0.028679,0
20260510_225358,val_best.pt,2752855.mp4,72,145,0.987879,17,0.031206,0
20260510_225358,val_best.pt,2752855.mp4,73,147,0.985581,17,0.032646,0
20260510_225358,val_best.pt,2752855.mp4,74,149,0.989890,17,0.043496,0
20260510_225358,val_best.pt,2752855.mp4,75,151,0.987707,17,0.033126,0
20260510_225358,val_best.pt,2752855.mp4,76,153,0.989660,17,0.025928,0
20260510_225358,val_best.pt,2752855.mp4,77,155,0.990234,17,0.024234,0
20260510_225358,val_best.pt,2752855.mp4,78,157,0.990579,17,0.024549,0
20260510_225358,val_best.pt,2752855.mp4,79,159,0.991613,17,0.023855,0
20260510_225358,val_best.pt,2752855.mp4,80,161,0.990780,17,0.021642,0
20260510_225358,val_best.pt,2752855.mp4,81,163,0.990378,17,0.034025,0
20260510_225358,val_best.pt,2752855.mp4,82,165,0.990895,17,0.015798,0
20260510_225358,val_best.pt,2752855.mp4,83,167,0.989861,17,0.021651,0
20260510_225358,val_best.pt,2752855.mp4,84,169,0.990608,17,0.029379,0
20260510_225358,val_best.pt,2752855.mp4,85,171,0.990292,17,0.023021,0
20260510_225358,val_best.pt,2752855.mp4,86,173,0.989200,17,0.020495,0
20260510_225358,val_best.pt,2752855.mp4,87,175,0.988396,17,0.014565,0
20260510_225358,val_best.pt,2752855.mp4,88,177,0.986443,17,0.021003,0
20260510_225358,val_best.pt,2752855.mp4,89,179,0.983226,17,0.032340,0
20260510_225358,val_best.pt,2752855.mp4,90,181,0.981790,17,0.020163,0
20260510_225358,val_best.pt,2752855.mp4,91,183,0.986615,17,0.021572,0
20260510_225358,val_best.pt,2752855.mp4,92,185,0.989028,17,0.022356,0
20260510_225358,val_best.pt,2752855.mp4,93,187,0.988482,17,0.025071,0
20260510_225358,val_best.pt,2752855.mp4,94,189,0.988626,17,0.029302,0
20260510_225358,val_best.pt,2752855.mp4,95,191,0.988655,17,0.018829,0
20260510_225358,val_best.pt,2752855.mp4,96,193,0.987506,17,0.020182,0
20260510_225358,val_best.pt,2752855.mp4,97,195,0.986816,17,0.029098,0
20260510_225358,val_best.pt,2752855.mp4,98,197,0.985294,17,0.025359,0
20260510_225358,val_best.pt,2752855.mp4,99,199,0.983887,17,0.029253,0
20260510_225358,val_best.pt,2752855.mp4,100,201,0.981244,17,0.017304,0
20260510_225358,val_best.pt,2752855.mp4,101,203,0.985438,17,0.033203,0
20260510_225358,val_best.pt,2752855.mp4,102,205,0.982565,17,0.023425,0
20260510_225358,val_best.pt,2752855.mp4,103,207,0.982422,17,0.022342,0
20260510_225358,val_best.pt,2752855.mp4,104,209,0.975701,17,0.015887,0
20260510_225358,val_best.pt,2752855.mp4,105,211,0.974006,17,0.021102,0
20260510_225358,val_best.pt,2752855.mp4,106,213,0.975069,17,0.025054,0
20260510_225358,val_best.pt,2752855.mp4,107,215,0.974753,17,0.022306,0
20260510_225358,val_best.pt,2752855.mp4,108,217,0.982881,17,0.019304,0
20260510_225358,val_best.pt,2752855.mp4,109,219,0.983284,17,0.014067,0
20260510_225358,val_best.pt,2752855.mp4,110,221,0.984059,17,0.018296,0
20260510_225358,val_best.pt,2752855.mp4,111,223,0.983197,17,0.019934,0
20260510_225358,val_best.pt,2752855.mp4,112,225,0.983485,17,0.016152,0
20260510_225358,val_best.pt,2752855.mp4,113,227,0.983714,17,0.016844,0
20260510_225358,val_best.pt,2752855.mp4,114,229,0.982278,17,0.028792,0
20260510_225358,val_best.pt,2752855.mp4,115,231,0.977080,17,0.014000,0
20260510_225358,val_best.pt,2752855.mp4,116,233,0.974782,17,0.026595,0
20260510_225358,val_best.pt,2752855.mp4,117,235,0.976218,17,0.013936,0
20260510_225358,val_best.pt,2752855.mp4,118,237,0.978286,17,0.034282,0
20260510_225358,val_best.pt,2752855.mp4,119,239,0.984030,17,0.025445,0
20260510_225358,val_best.pt,2752855.mp4,120,241,0.981014,17,0.022994,0
20260510_225358,val_best.pt,2752855.mp4,121,243,0.984174,17,0.017753,0
20260510_225358,val_best.pt,2752855.mp4,122,245,0.984662,17,0.011963,0
20260510_225358,val_best.pt,2752855.mp4,123,247,0.979837,17,0.015087,0
20260510_225358,val_best.pt,2752855.mp4,124,249,0.983197,17,0.022144,0
20260510_225358,val_best.pt,2752855.mp4,125,251,0.981991,17,0.029840,0
20260510_225358,val_best.pt,2752855.mp4,126,253,0.983513,17,0.023116,0
20260510_225358,val_best.pt,2752855.mp4,127,255,0.985265,17,0.015573,0
20260510_225358,val_best.pt,2752855.mp4,128,257,0.988741,17,0.030789,0
20260510_225358,val_best.pt,2752855.mp4,129,259,0.989287,17,0.028171,0
20260510_225358,val_best.pt,2752855.mp4,130,261,0.987736,17,0.015910,0
20260510_225358,val_best.pt,2752855.mp4,131,263,0.988798,17,0.036479,0
20260510_225358,val_best.pt,2752855.mp4,132,265,0.987879,17,0.018121,0
20260510_225358,val_best.pt,2752855.mp4,133,267,0.988770,17,0.029850,0
20260510_225358,val_best.pt,2752855.mp4,134,269,0.987333,17,0.020409,0
20260510_225358,val_best.pt,2752855.mp4,135,271,0.984892,17,0.028310,0
