frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
222,893.2500,617.3438,0.0000,0.0938,0.0938
223,892.5000,620.1562,-0.7500,2.8125,2.9108
224,895.5000,622.5000,3.0000,2.3438,3.8070
225,900.0000,622.5938,4.5000,0.0938,4.5010
226,900.0000,622.1250,0.0000,-0.4688,0.4688
227,906.7500,624.3750,6.7500,2.2500,7.1151
228,906.7500,624.3750,0.0000,0.0000,0.0000
229,910.5000,624.6562,3.7500,0.2812,3.7605
230,913.5000,624.0000,3.0000,-0.6562,3.0709
231,915.7500,623.2500,2.2500,-0.7500,2.3717
232,918.1875,622.1250,2.4375,-1.1250,2.6846
233,918.1875,620.6250,0.0000,-1.5000,1.5000
234,918.1875,620.6250,0.0000,0.0000,0.0000
235,918.1875,620.3438,0.0000,-0.2812,0.2812
236,921.1875,619.4062,3.0000,-0.9375,3.1431
237,922.6875,618.8438,1.5000,-0.5625,1.6020
238,927.0000,617.2500,4.3125,-1.5938,4.5976
239,927.1875,616.5000,0.1875,-0.7500,0.7731
240,928.5000,616.8750,1.3125,0.3750,1.3650
241,927.0000,616.5938,-1.5000,-0.2812,1.5261
242,923.2500,618.6562,-3.7500,2.0625,4.2798
243,928.6875,618.8438,5.4375,0.1875,5.4407
244,942.7500,618.3750,14.0625,-0.4688,14.0703
245,957.7500,616.8750,15.0000,-1.5000,15.0748
246,957.7500,616.8750,0.0000,0.0000,0.0000
247,975.7500,615.7500,18.0000,-1.1250,18.0351
248,993.0000,614.6250,17.2500,-1.1250,17.2866
249,1004.2500,617.1562,11.2500,2.5312,11.5312
250,1014.0000,618.6562,9.7500,1.5000,9.8647
251,1025.2500,619.5000,11.2500,0.8438,11.2816
252,1024.5000,619.5938,-0.7500,0.0938,0.7558
253,1036.5000,623.6250,12.0000,4.0312,12.6590
254,1035.1875,627.0000,-1.3125,3.3750,3.6212
255,1032.0000,628.8750,-3.1875,1.8750,3.6981
256,1027.6875,631.8750,-4.3125,3.0000,5.2533
257,1027.5000,636.0000,-0.1875,4.1250,4.1293
258,1027.5000,636.0000,0.0000,0.0000,0.0000
259,1027.6875,639.7500,0.1875,3.7500,3.7547
260,1019.8125,639.7500,-7.8750,0.0000,7.8750
261,1014.0000,638.2500,-5.8125,-1.5000,6.0029
262,1000.3125,636.3750,-13.6875,-1.8750,13.8153
263,983.2500,635.1562,-17.0625,-1.2188,17.1060
264,983.2500,634.8750,0.0000,-0.2812,0.2812
265,966.0000,636.7500,-17.2500,1.8750,17.3516
266,935.2500,636.3750,-30.7500,-0.3750,30.7523
267,932.2500,636.7500,-3.0000,0.3750,3.0233
268,924.7500,638.3438,-7.5000,1.5938,7.6675
269,917.2500,638.6250,-7.5000,0.2812,7.5053
270,918.0000,638.3438,0.7500,-0.2812,0.8010
271,916.5000,637.5938,-1.5000,-0.7500,1.6771
272,919.5000,635.2500,3.0000,-2.3438,3.8070
273,914.2500,635.3438,-5.2500,0.0938,5.2508
274,912.0000,635.2500,-2.2500,-0.0938,2.2520
275,912.7500,638.2500,0.7500,3.0000,3.0923
276,912.7500,638.2500,0.0000,0.0000,0.0000
277,908.8125,640.1250,-3.9375,1.8750,4.3611
278,902.2500,642.3750,-6.5625,2.2500,6.9375
279,907.5000,641.2500,5.2500,-1.1250,5.3692
280,903.7500,641.1562,-3.7500,-0.0938,3.7512
281,915.1875,644.2500,11.4375,3.0938,11.8485
282,914.2500,644.2500,-0.9375,0.0000,0.9375
283,926.2500,647.2500,12.0000,3.0000,12.3693
284,930.1875,645.3750,3.9375,-1.8750,4.3611
285,941.8125,647.9062,11.6250,2.5312,11.8974
286,948.7500,647.1562,6.9375,-0.7500,6.9779
287,949.5000,647.2500,0.7500,0.0938,0.7558
288,949.5000,647.2500,0.0000,0.0000,0.0000
289,948.7500,647.3438,-0.7500,0.0938,0.7558
290,947.8125,647.3438,-0.9375,0.0000,0.9375
291,948.0000,647.6250,0.1875,0.2812,0.3380
292,948.1875,648.0000,0.1875,0.3750,0.4193
293,951.7500,639.0938,3.5625,-8.9062,9.5923
294,951.7500,639.6562,0.0000,0.5625,0.5625
295,952.3125,639.0938,0.5625,-0.5625,0.7955
296,948.0000,640.5000,-4.3125,1.4062,4.5360
297,948.7500,642.7500,0.7500,2.2500,2.3717
298,950.2500,643.5938,1.5000,0.8438,1.7210
299,950.8125,643.4062,0.5625,-0.1875,0.5929
300,951.0000,643.5000,0.1875,0.0938,0.2096
301,952.5000,643.5000,1.5000,0.0000,1.5000
302,955.5000,643.1250,3.0000,-0.3750,3.0233
303,959.2500,642.0000,3.7500,-1.1250,3.9151
304,961.5000,642.0938,2.2500,0.0938,2.2520
305,962.2500,641.6250,0.7500,-0.4688,0.8844
306,961.6875,641.6250,-0.5625,0.0000,0.5625
307,960.7500,642.0000,-0.9375,0.3750,1.0097
308,960.7500,642.3750,0.0000,0.3750,0.3750
309,962.2500,642.3750,1.5000,0.0000,1.5000
310,963.0000,642.7500,0.7500,0.3750,0.8385
311,964.5000,643.5000,1.5000,0.7500,1.6771
312,964.5000,643.5000,0.0000,0.0000,0.0000
313,965.2500,643.8750,0.7500,0.3750,0.8385
314,966.1875,643.8750,0.9375,0.0000,0.9375
315,966.0000,644.6250,-0.1875,0.7500,0.7731
316,966.7500,644.3438,0.7500,-0.2812,0.8010
317,967.3125,644.2500,0.5625,-0.0938,0.5703
318,967.5000,644.2500,0.1875,0.0000,0.1875
319,968.2500,645.0000,0.7500,0.7500,1.0607
320,968.2500,645.0938,0.0000,0.0938,0.0938
321,969.1875,645.3750,0.9375,0.2812,0.9788
322,968.2500,645.7500,-0.9375,0.3750,1.0097
323,969.0000,646.1250,0.7500,0.3750,0.8385
324,968.2500,646.1250,-0.7500,0.0000,0.7500
325,970.5000,646.5000,2.2500,0.3750,2.2810
326,970.5000,646.5938,0.0000,0.0938,0.0938
327,972.0000,646.5000,1.5000,-0.0938,1.5029
328,972.0000,646.5000,0.0000,0.0000,0.0000
329,975.7500,641.6250,3.7500,-4.8750,6.1505
330,975.7500,641.6250,0.0000,0.0000,0.0000
331,979.6875,632.2500,3.9375,-9.3750,10.1683
332,977.2500,628.4062,-2.4375,-3.8438,4.5515
333,974.2500,626.6250,-3.0000,-1.7812,3.4890
334,973.3125,624.7500,-0.9375,-1.8750,2.0963
335,972.0000,625.1250,-1.3125,0.3750,1.3650
336,972.0000,625.1250,0.0000,0.0000,0.0000
337,970.5000,625.1250,-1.5000,0.0000,1.5000
338,969.7500,625.1250,-0.7500,0.0000,0.7500
339,970.6875,627.0000,0.9375,1.8750,2.0963
340,970.5000,627.3750,-0.1875,0.3750,0.4193
341,971.2500,628.1250,0.7500,0.7500,1.0607
342,971.2500,628.1250,0.0000,0.0000,0.0000
343,972.7500,628.8750,1.5000,0.7500,1.6771
344,973.5000,629.2500,0.7500,0.3750,0.8385
345,974.2500,629.3438,0.7500,0.0938,0.7558
346,975.0000,629.6250,0.7500,0.2812,0.8010
347,974.8125,630.0000,-0.1875,0.3750,0.4193
348,973.6875,630.0000,-1.1250,0.0000,1.1250
349,973.5000,630.0000,-0.1875,0.0000,0.1875
350,974.2500,629.3438,0.7500,-0.6562,0.9966
351,974.2500,629.2500,0.0000,-0.0938,0.0938
352,975.0000,630.7500,0.7500,1.5000,1.6771
353,975.0000,630.0000,0.0000,-0.7500,0.7500
354,975.7500,630.0000,0.7500,0.0000,0.7500
355,975.0000,631.1250,-0.7500,1.1250,1.3521
356,976.3125,631.8750,1.3125,0.7500,1.5117
357,977.2500,631.8750,0.9375,0.0000,0.9375
358,977.2500,631.8750,0.0000,0.0000,0.0000
359,977.8125,632.6250,0.5625,0.7500,0.9375
360,978.0000,633.8438,0.1875,1.2188,1.2331
361,979.3125,632.6250,1.3125,-1.2188,1.7911
