frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
75,874.5000,472.5000,-2.2500,0.0000,2.2500
76,868.5000,472.5000,-6.0000,0.0000,6.0000
77,865.3125,475.8750,-3.1875,3.3750,4.6423
78,867.7500,504.7500,2.4375,28.8750,28.9777
79,864.7500,523.5000,-3.0000,18.7500,18.9885
80,862.5000,531.7500,-2.2500,8.2500,8.5513
81,858.0000,544.5000,-4.5000,12.7500,13.5208
82,861.7500,549.0000,3.7500,4.5000,5.8577
83,861.7500,545.2500,0.0000,-3.7500,3.7500
84,862.6875,540.0000,0.9375,-5.2500,5.3330
85,858.0000,537.0000,-4.6875,-3.0000,5.5653
86,856.3125,534.0000,-1.6875,-3.0000,3.4420
87,851.2500,530.2500,-5.0625,-3.7500,6.3001
88,845.2500,519.7500,-6.0000,-10.5000,12.0934
89,840.0000,514.5000,-5.2500,-5.2500,7.4246
90,840.0000,508.5000,0.0000,-6.0000,6.0000
91,837.1875,501.0000,-2.8125,-7.5000,8.0100
92,843.0000,496.5000,5.8125,-4.5000,7.3509
93,835.6875,492.0000,-7.3125,-4.5000,8.5862
94,824.2500,487.5000,-11.4375,-4.5000,12.2909
95,835.5000,487.5000,11.2500,0.0000,11.2500
96,823.5000,484.1250,-12.0000,-3.3750,12.4656
97,817.6875,496.1250,-5.8125,12.0000,13.3336
98,811.5000,509.2500,-6.1875,13.1250,14.5104
99,811.5000,518.6250,0.0000,9.3750,9.3750
100,810.7500,522.7500,-0.7500,4.1250,4.1926
101,806.2500,523.5000,-4.5000,0.7500,4.5621
102,805.6875,525.0000,-0.5625,1.5000,1.6020
103,800.2500,523.1250,-5.4375,-1.8750,5.7517
104,798.0000,520.8750,-2.2500,-2.2500,3.1820
105,798.1875,517.5000,0.1875,-3.3750,3.3802
106,816.0000,514.5000,17.8125,-3.0000,18.0634
107,795.7500,513.0000,-20.2500,-1.5000,20.3055
108,820.6875,511.1250,24.9375,-1.8750,25.0079
109,840.0000,510.0000,19.3125,-1.1250,19.3452
110,832.3125,509.2500,-7.6875,-0.7500,7.7240
111,830.2500,508.8750,-2.0625,-0.3750,2.0963
112,827.2500,508.5000,-3.0000,-0.3750,3.0233
113,827.2500,507.0000,0.0000,-1.5000,1.5000
114,816.7500,507.0000,-10.5000,0.0000,10.5000
115,819.7500,505.1250,3.0000,-1.8750,3.5377
116,828.0000,504.3750,8.2500,-0.7500,8.2840
117,858.1875,503.2500,30.1875,-1.1250,30.2085
118,876.0000,507.0000,17.8125,3.7500,18.2030
119,858.7500,537.7500,-17.2500,30.7500,35.2580
120,859.5000,540.0000,0.7500,2.2500,2.3717
121,867.0000,540.0000,7.5000,0.0000,7.5000
122,868.5000,540.0000,1.5000,0.0000,1.5000
123,867.7500,540.0000,-0.7500,0.0000,0.7500
124,862.5000,540.0000,-5.2500,0.0000,5.2500
125,859.5000,540.0000,-3.0000,0.0000,3.0000
126,855.7500,540.0000,-3.7500,0.0000,3.7500
