video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
5,walk_5,walk,62,2.067,0.07809743027274425,0.31937432289123535,0.19904864579439163,Chest-LFElb,667.5587768554688,0.29965388774871826,0.1184740960597992
5,walk_5,walk,64,2.133,0.07114229071885347,0.25610533356666565,0.17528951913118362,Chest-LFElb,680.609130859375,0.2882983684539795,0.1073727011680603
5,walk_5,walk,66,2.2,0.06188384321733163,0.18936891853809357,0.1412032519777616,Chest-LFElb,694.839111328125,0.2780280113220215,0.0859222337603569
5,walk_5,walk,68,2.267,0.05251346721958656,0.12830503284931183,0.10345968852440517,Chest-LFElb,705.6346435546875,0.2702363133430481,0.05946142226457596
5,walk_5,walk,70,2.333,0.04866872828167219,0.09792637825012207,0.0884903073310852,Chest-LFElb,712.234130859375,0.26633214950561523,0.03622612729668617
5,walk_5,walk,72,2.4,0.052000744411578544,0.10845824331045151,0.0932168538371722,Hip-LHKnee,715.5458374023438,0.26618802547454834,0.034935493022203445
5,walk_5,walk,74,2.467,0.056618692639928594,0.1259051263332367,0.10645034164190292,Chest-RFElb,716.0864868164062,0.26821935176849365,0.04030816629528999
5,walk_5,walk,76,2.533,0.0585697373518577,0.13974173367023468,0.1264623006184896,Chest-RFElb,714.5765380859375,0.2709318995475769,0.039333492517471313
5,walk_5,walk,78,2.6,0.06473010721114966,0.19454336166381836,0.14410376300414404,Chest-LFElb,711.6116333007812,0.2740313410758972,0.03765992447733879
5,walk_5,walk,80,2.667,0.07301043231899922,0.26761510968208313,0.17610523104667664,Chest-LFElb,708.7692260742188,0.27613455057144165,0.03380060940980911
5,walk_5,walk,82,2.733,0.0754512598594794,0.3157830536365509,0.19486444195111594,Chest-LFElb,707.340576171875,0.27690619230270386,0.031136643141508102
5,walk_5,walk,84,2.8,0.07678539005036537,0.33262744545936584,0.19523911674817404,Chest-LFElb,707.57080078125,0.27609655261039734,0.036516740918159485
5,walk_5,walk,86,2.867,0.07185100864332455,0.30477410554885864,0.18073889364798865,Chest-LFElb,706.259765625,0.27337318658828735,0.047344136983156204
5,walk_5,walk,88,2.933,0.06345647444518712,0.24314050376415253,0.15001454949378967,Chest-LFElb,703.5677490234375,0.269673228263855,0.04876413568854332
5,walk_5,walk,90,3.0,0.055624405351968914,0.16816335916519165,0.1148167575399081,Chest-LFElb,698.30517578125,0.26620298624038696,0.04669250175356865
5,walk_5,walk,92,3.067,0.04789449861989571,0.08808685839176178,0.0830188939968745,Hip-LHKnee,689.616455078125,0.26379042863845825,0.04304041340947151
5,walk_5,walk,94,3.133,0.04912942203764732,0.10515367239713669,0.08537345131238301,Hip-LHKnee,678.3448486328125,0.26220160722732544,0.03516710177063942
