Frame,Timestamp,Behavior,GCN_Confidence,Is_Still,Motion_Score
2096,2026-06-17 16:54:41,stop,0.8658,NO,0.518645
2097,2026-06-17 16:54:41,stop,0.8658,NO,0.673021
2098,2026-06-17 16:54:41,stop,0.8718,NO,3.683309
2099,2026-06-17 16:54:41,stop,0.8718,NO,0.510875
2100,2026-06-17 16:54:41,stop,0.8530,NO,4.014087
2101,2026-06-17 16:54:41,stop,0.8530,NO,0.241536
2102,2026-06-17 16:54:41,stop,0.8786,NO,0.211796
2103,2026-06-17 16:54:41,stop,0.8786,NO,0.284108
2104,2026-06-17 16:54:41,stop,0.9120,NO,0.273535
2105,2026-06-17 16:54:41,stop,0.9120,NO,0.196190
2106,2026-06-17 16:54:41,stop,0.9248,NO,0.194055
2107,2026-06-17 16:54:41,stop,0.9248,NO,0.172569
2108,2026-06-17 16:54:41,stop,0.9435,NO,0.384489
2227,2026-06-17 16:54:47,stop,0.9655,NO,84.889036
2238,2026-06-17 16:54:48,lick,0.8328,NO,0.355576
2239,2026-06-17 16:54:48,lick,0.8328,NO,0.075505
2240,2026-06-17 16:54:48,lick,0.9190,NO,0.331791
2241,2026-06-17 16:54:48,lick,0.9190,NO,0.624785
2242,2026-06-17 16:54:48,lick,0.9843,NO,0.272735
2243,2026-06-17 16:54:48,lick,0.9843,NO,0.411671
2244,2026-06-17 16:54:48,lick,0.9828,NO,0.548048
2245,2026-06-17 16:54:48,lick,0.9828,NO,0.054145
2246,2026-06-17 16:54:48,lick,0.9817,NO,0.408583
2247,2026-06-17 16:54:48,lick,0.9817,NO,0.507691
2248,2026-06-17 16:54:48,lick,0.9826,NO,0.391681
2249,2026-06-17 16:54:48,lick,0.9826,NO,0.299648
2250,2026-06-17 16:54:48,lick,0.9823,NO,0.301947
2251,2026-06-17 16:54:48,lick,0.9823,NO,0.041427
2252,2026-06-17 16:54:49,lick,0.9829,NO,0.373005
2253,2026-06-17 16:54:49,lick,0.9829,NO,0.490900
2254,2026-06-17 16:54:49,lick,0.9821,NO,0.246991
2255,2026-06-17 16:54:49,lick,0.9821,NO,0.362965
2256,2026-06-17 16:54:49,lick,0.9812,NO,0.225438
