date,time,behavior_id,behavior_name,duration_sec,activity
2026-05-05,19:46:57,1,舔舐,2.1,15
2026-05-05,19:46:59,1,舔舐,2.0,15
2026-05-05,19:47:01,1,舔舐,2.1,16
2026-05-05,19:47:04,1,舔舐,2.4,18
2026-05-05,19:47:06,1,舔舐,2.0,25
2026-05-05,19:47:08,1,舔舐,2.1,17
2026-05-05,19:47:10,1,舔舐,2.1,17
2026-05-05,19:47:12,1,舔舐,2.3,12
2026-05-05,19:47:14,1,舔舐,2.0,10
2026-05-05,19:47:16,1,舔舐,2.1,10
2026-05-05,19:47:19,1,舔舐,2.1,7
2026-05-05,19:47:21,1,舔舐,2.1,6
2026-05-05,19:47:23,1,舔舐,2.1,6
2026-05-05,19:47:25,1,舔舐,2.4,4
2026-05-05,19:47:27,1,舔舐,2.1,15
2026-05-05,19:47:29,1,舔舐,2.3,10
2026-05-05,19:47:31,1,舔舐,2.0,8
2026-05-05,19:47:34,1,舔舐,2.1,10
2026-05-05,19:47:36,1,舔舐,2.1,14
2026-05-05,19:47:38,1,舔舐,2.4,8
2026-05-05,19:47:40,1,舔舐,2.0,16
2026-05-05,19:47:42,1,舔舐,2.1,13
2026-05-05,19:47:44,1,舔舐,2.2,13
2026-05-05,19:47:46,1,舔舐,2.0,11
2026-05-05,19:47:49,1,舔舐,2.1,12
2026-05-05,19:47:51,1,舔舐,2.1,8
2026-05-05,19:47:53,1,舔舐,2.1,7
2026-05-05,19:47:55,1,舔舐,2.1,3
2026-05-05,19:47:57,1,舔舐,2.2,3
2026-05-05,19:47:59,1,舔舐,2.0,7
2026-05-05,19:48:01,1,舔舐,2.1,6
2026-05-05,19:48:03,1,舔舐,2.1,7
2026-05-05,19:48:06,1,舔舐,2.3,10
2026-05-05,19:48:08,1,舔舐,2.0,11
2026-05-05,19:48:10,1,舔舐,2.1,11
2026-05-05,19:48:12,1,舔舐,2.2,6
2026-05-05,19:48:14,1,舔舐,2.0,9
2026-05-05,19:48:16,1,舔舐,2.1,13
2026-05-05,19:48:18,1,舔舐,2.1,9
2026-05-05,19:48:20,1,舔舐,2.1,8
2026-05-05,19:48:22,1,舔舐,2.1,14
2026-05-05,19:48:25,1,舔舐,2.0,15
2026-05-05,19:48:27,1,舔舐,2.1,9
2026-05-05,19:48:29,1,舔舐,2.1,7
2026-05-05,19:48:31,1,舔舐,2.1,6
2026-05-05,19:48:33,1,舔舐,2.0,8
2026-05-05,19:48:35,1,舔舐,2.1,100
2026-05-05,19:48:37,1,舔舐,2.1,12
2026-05-05,19:48:39,1,舔舐,2.1,9
2026-05-05,19:48:41,1,舔舐,2.1,15
2026-05-05,19:48:43,1,舔舐,2.1,13
2026-05-05,19:48:45,1,舔舐,2.1,12
2026-05-05,19:48:47,1,舔舐,2.1,10
2026-05-05,19:48:50,1,舔舐,2.1,9
2026-05-05,19:48:52,1,舔舐,2.1,4
2026-05-05,19:48:54,1,舔舐,2.1,8
2026-05-05,19:48:56,1,舔舐,2.1,14
2026-05-05,19:48:58,1,舔舐,2.1,12
2026-05-05,19:49:00,1,舔舐,2.1,7
2026-05-05,19:49:02,1,舔舐,2.1,7
2026-05-05,19:49:04,1,舔舐,2.1,5
2026-05-05,19:49:06,1,舔舐,2.1,12
2026-05-05,19:49:09,1,舔舐,2.1,10
2026-05-05,19:49:11,1,舔舐,2.1,10
2026-05-05,19:49:13,1,舔舐,2.1,10
2026-05-05,19:49:15,1,舔舐,2.1,3
2026-05-05,19:49:17,1,舔舐,2.1,8
2026-05-05,19:49:19,1,舔舐,2.1,9
2026-05-05,19:49:21,1,舔舐,2.1,14
2026-05-05,19:49:23,1,舔舐,2.1,16
2026-05-05,19:49:25,1,舔舐,2.1,9
2026-05-05,19:49:27,1,舔舐,2.1,11
2026-05-05,19:49:30,1,舔舐,2.1,13
2026-05-05,19:49:32,1,舔舐,2.1,13
2026-05-05,19:49:34,1,舔舐,2.0,13
2026-05-05,19:49:36,1,舔舐,2.0,14
2026-05-05,19:49:38,1,舔舐,2.1,9
2026-05-05,19:49:40,1,舔舐,2.1,5
2026-05-05,19:49:42,1,舔舐,2.3,5
2026-05-05,19:49:44,1,舔舐,2.0,9
2026-05-05,19:49:46,1,舔舐,2.1,20
2026-05-05,19:49:49,1,舔舐,2.3,14
2026-05-05,19:49:51,1,舔舐,2.1,13
2026-05-05,19:49:53,1,舔舐,2.1,8
2026-05-05,19:49:55,1,舔舐,2.1,6
2026-05-05,19:49:57,1,舔舐,2.1,7
2026-05-05,19:49:59,1,舔舐,2.1,11
2026-05-05,19:50:01,1,舔舐,2.1,15
2026-05-05,19:50:03,1,舔舐,2.4,12
2026-05-05,19:50:05,1,舔舐,2.1,9
2026-05-05,19:50:08,1,舔舐,2.3,6
2026-05-05,19:50:10,1,舔舐,2.0,2
2026-05-05,19:50:12,1,舔舐,2.1,9
2026-05-05,19:50:14,1,舔舐,2.1,13
2026-05-05,19:50:16,1,舔舐,2.1,16
2026-05-05,19:50:18,1,舔舐,2.1,11
2026-05-05,19:50:20,1,舔舐,2.1,11
2026-05-05,19:50:22,1,舔舐,2.1,6
2026-05-05,19:50:24,1,舔舐,2.1,7
