frame,kp0_x,kp0_y,kp0_disp,kp1_x,kp1_y,kp1_disp,kp2_x,kp2_y,kp2_disp,kp3_x,kp3_y,kp3_disp,kp4_x,kp4_y,kp4_disp,kp5_x,kp5_y,kp5_disp,kp6_x,kp6_y,kp6_disp,kp7_x,kp7_y,kp7_disp,kp8_x,kp8_y,kp8_disp,kp9_x,kp9_y,kp9_disp,kp10_x,kp10_y,kp10_disp,kp11_x,kp11_y,kp11_disp,kp12_x,kp12_y,kp12_disp,kp13_x,kp13_y,kp13_disp,kp14_x,kp14_y,kp14_disp,kp15_x,kp15_y,kp15_disp,kp16_x,kp16_y,kp16_disp
42,1212.0000,540.0000,3.7500,1221.7500,411.3750,6.7604,1143.7500,421.8750,0.8385,1049.2500,580.1250,8.7865,893.2500,389.2500,7.9726,706.5000,438.7500,5.8697,973.5000,600.0000,11.8585,1017.0000,716.2500,28.7457,957.7500,617.2500,8.7464,1053.0000,743.2500,19.8573,832.5000,567.7500,3.6933,877.5000,711.3750,12.6002,749.2500,568.5000,7.5374,678.3750,699.7500,17.0779,,,,,,,,,
43,1212.0000,543.7500,3.7500,1225.5000,406.1250,6.4517,1143.0000,423.0000,1.3521,1048.5000,581.2500,1.3521,878.2500,390.0000,15.0187,700.8750,448.5000,11.2562,993.7500,601.1250,20.2812,1054.5000,709.8750,38.0380,953.2500,611.2500,7.5000,1038.0000,738.7500,15.6605,836.2500,571.5000,5.3033,883.5000,711.7500,6.0117,747.3750,574.1250,5.9293,673.1250,703.5000,6.4517,,,,,,,,,
44,1212.7500,539.2500,4.5621,1230.0000,406.8750,4.5621,1145.2500,421.8750,2.5156,1055.2500,586.1250,8.3264,879.7500,392.6250,3.0233,700.1250,455.6250,7.1644,1014.7500,609.0000,22.4280,1087.5000,711.0000,33.0192,958.5000,614.2500,6.0467,1039.5000,739.5000,1.6771,841.5000,579.3750,9.4646,888.7500,714.0000,5.7118,742.1250,580.1250,7.9726,654.3750,702.7500,18.7650,,,,,,,,,
45,1214.2500,537.7500,2.1213,1230.0000,407.2500,0.3750,1146.7500,423.3750,2.1213,1055.2500,588.0000,1.8750,878.2500,390.0000,3.0233,700.5000,459.3750,3.7687,1032.7500,615.7500,19.2240,1125.0000,715.1250,37.7262,953.2500,615.7500,5.4601,1032.7500,741.0000,6.9147,841.5000,584.2500,4.8750,878.2500,714.3750,10.5067,739.8750,583.5000,4.0562,643.5000,702.0000,10.9008,,,,,,,,,
46,1218.0000,538.8750,3.9151,1237.5000,409.1250,7.7308,1155.7500,426.3750,9.4868,1056.7500,587.6250,1.5462,885.0000,391.5000,6.9147,703.8750,458.2500,3.5576,1059.0000,625.5000,28.0022,1178.2500,732.0000,55.8599,947.2500,611.6250,7.2812,1017.0000,736.5000,16.3802,840.7500,584.2500,0.7500,868.5000,713.6250,9.7788,738.3750,579.7500,4.0389,629.2500,697.8750,14.8350,,,,,,,,,
47,1224.0000,540.0000,6.1046,1238.2500,407.2500,2.0194,1161.7500,423.0000,6.8841,1054.5000,593.2500,6.0583,879.7500,386.2500,7.4246,706.1250,454.8750,4.0562,1067.2500,641.2500,17.7799,1200.7500,762.0000,37.5000,939.7500,610.5000,7.5839,999.0000,739.5000,18.2483,833.2500,588.7500,8.7464,842.2500,715.5000,26.3169,724.5000,572.6250,15.5975,590.6250,692.2500,39.0324,,,,,,,,,
48,1225.5000,544.1250,4.3893,1244.2500,410.2500,6.7082,1162.5000,424.8750,2.0194,1053.0000,594.3750,1.8750,882.0000,387.7500,2.7042,705.7500,451.8750,3.0233,1075.5000,646.1250,9.5827,1218.7500,777.7500,23.9178,936.7500,607.1250,4.5156,987.0000,739.5000,12.0000,826.5000,587.6250,6.8431,828.0000,718.5000,14.5624,722.2500,568.8750,4.3732,583.5000,693.0000,7.1644,,,,,,,,,
49,1223.2500,547.5000,4.0562,1244.2500,417.7500,7.5000,1160.2500,426.3750,2.7042,1053.0000,593.2500,1.1250,885.0000,385.5000,3.7500,708.7500,446.6250,6.0467,1081.5000,648.0000,6.2861,1227.7500,792.0000,16.8542,936.0000,601.1250,6.0467,975.7500,738.0000,11.3496,822.7500,585.0000,4.5775,808.5000,718.5000,19.5000,722.2500,562.8750,6.0000,576.0000,691.1250,7.7308,,,,,,,,,
50,1224.0000,558.7500,11.2750,1248.0000,423.3750,6.7604,1156.5000,434.2500,8.7223,1050.7500,599.2500,6.4080,885.0000,384.3750,1.1250,710.2500,444.7500,2.4012,1081.5000,651.7500,3.7500,1220.2500,797.2500,9.1549,933.7500,601.8750,2.3717,960.0000,738.0000,15.7500,819.0000,585.7500,3.8243,797.2500,717.7500,11.2750,726.7500,562.8750,4.5000,580.5000,691.5000,4.5156,,,,,,,,,
51,1224.0000,569.6250,10.8750,1251.0000,432.0000,9.1318,1155.0000,444.0000,9.8647,1048.5000,602.6250,4.0562,888.0000,383.6250,3.0923,717.0000,445.8750,6.8431,1074.7500,653.2500,6.9147,1206.7500,798.7500,13.5831,928.5000,603.3750,5.4601,948.7500,735.0000,11.6431,813.7500,587.2500,5.4601,779.2500,718.5000,18.0156,736.5000,566.2500,10.3176,597.7500,696.7500,18.0312,,,,,,,,,
